@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
7008,'2023/12/04 22:38:11:084',60,0,0,0,-3,-16777216,0.93,0.96
7009,'2023/12/04 22:38:11:100',60,0,0,0,0,-16777216,0.93,0.96
7010,'2023/12/04 22:38:11:117',60,0,0,0,0,-16777216,0.93,0.96
7011,'2023/12/04 22:38:11:134',60,0,0,0,-63,-16777216,0.93,0.96
7012,'2023/12/04 22:38:11:154',60,0,0,0,-6,-16777216,0.93,0.96
7013,'2023/12/04 22:38:11:166',60,0,-69,0,0,-16777216,0.93,0.96
7014,'2023/12/04 22:38:11:184',60,0,0,0,0,-16777216,0.93,0.96
7015,'2023/12/04 22:38:11:200',60,9,9,6,9,-16579837,0.93,0.96
7016,'2023/12/04 22:38:11:216',60,-57,0,0,0,-16777216,0.93,0.96
7017,'2023/12/04 22:38:11:235',60,-57,0,0,0,-16777216,0.93,0.96
7018,'2023/12/04 22:38:11:251',60,84,84,-153,84,-14935012,0.93,0.96
7019,'2023/12/04 22:38:11:268',60,84,84,-153,84,-14935012,0.93,0.96
7020,'2023/12/04 22:38:11:285',60,0,0,-15,0,-16777216,0.93,0.96
7021,'2023/12/04 22:38:11:299',60,0,0,-18,0,-16777216,0.93,0.96
7022,'2023/12/04 22:38:11:316',60,0,0,-18,0,-16777216,0.93,0.96
7023,'2023/12/04 22:38:11:333',60,0,0,-18,0,-16777216,0.93,0.96
7024,'2023/12/04 22:38:11:351',60,-3,-12,0,0,-16777216,0.93,0.96
7025,'2023/12/04 22:38:11:369',60,-3,-12,0,0,-16777216,0.93,0.96
7026,'2023/12/04 22:38:11:383',60,-3,-12,0,0,-16777216,0.93,0.96
7027,'2023/12/04 22:38:11:402',60,-3,-18,0,0,-16777216,0.93,0.96
7028,'2023/12/04 22:38:11:415',60,-3,-18,0,0,-16777216,0.93,0.96
7029,'2023/12/04 22:38:11:434',60,-3,-18,0,0,-16777216,0.93,0.96
7030,'2023/12/04 22:38:11:450',60,-3,-6,0,0,-16777216,0.93,0.96
7031,'2023/12/04 22:38:11:467',60,-3,-6,0,0,-16777216,0.93,0.96
7032,'2023/12/04 22:38:12:133',61,-765,-147,0,0,-16777216,0.93,0.96
7033,'2023/12/04 22:38:12:151',61,102,45,162,123,-13224394,0.93,0.96
7034,'2023/12/04 22:38:12:167',61,-435,36,36,36,-15987700,0.93,0.96
7035,'2023/12/04 22:38:12:185',61,765,765,705,120,-1,0.93,0.96
7036,'2023/12/04 22:38:12:199',61,-504,0,165,165,-13158601,0.93,0.96
7037,'2023/12/04 22:38:12:215',61,765,765,765,171,-1,0.93,0.96
7038,'2023/12/04 22:38:12:234',61,765,765,765,171,-1,0.93,0.96
7039,'2023/12/04 22:38:12:250',61,-267,-765,0,0,-16777216,0.93,0.96
7040,'2023/12/04 22:38:12:268',61,0,-765,0,0,-16777216,0.93,0.96
7041,'2023/12/04 22:38:12:285',61,36,-27,36,36,-15987700,0.93,0.96
7042,'2023/12/04 22:38:12:302',61,0,0,0,0,-16777216,0.93,0.96
7043,'2023/12/04 22:38:12:319',61,-423,-15,0,0,-16777216,0.93,0.96
7044,'2023/12/04 22:38:12:335',61,0,0,0,0,-16777216,0.93,0.96
7045,'2023/12/04 22:38:12:351',61,285,285,-147,282,-10526881,0.93,0.96
7046,'2023/12/04 22:38:12:367',61,0,-66,0,0,-16777216,0.93,0.96
7047,'2023/12/04 22:38:12:385',61,-171,0,0,0,-16777216,0.93,0.96
7048,'2023/12/04 22:38:12:401',61,423,423,123,420,-7500403,0.93,0.96
7049,'2023/12/04 22:38:12:418',61,423,423,123,420,-7500403,0.93,0.96
7050,'2023/12/04 22:38:12:435',61,0,0,0,-27,-16777216,0.93,0.96
7051,'2023/12/04 22:38:12:453',61,0,0,0,-9,-16777216,0.93,0.96
7052,'2023/12/04 22:38:12:467',61,429,429,207,426,-7368817,0.93,0.96
7053,'2023/12/04 22:38:12:485',61,192,192,-183,189,-12566464,0.93,0.96
7054,'2023/12/04 22:38:12:503',61,-51,0,-84,0,-16777216,0.93,0.96
7055,'2023/12/04 22:38:12:516',61,-51,0,-84,0,-16777216,0.93,0.96
7056,'2023/12/04 22:38:12:535',61,0,-27,0,0,-16777216,0.93,0.96
7057,'2023/12/04 22:38:12:550',61,0,0,-405,0,-16777216,0.93,0.96
7058,'2023/12/04 22:38:12:568',61,-60,-39,0,0,-16777216,0.93,0.96
7059,'2023/12/04 22:38:12:584',61,0,0,-33,0,-16777216,0.93,0.96
7060,'2023/12/04 22:38:12:600',61,-27,0,-84,0,-16777216,0.93,0.96
7061,'2023/12/04 22:38:12:618',61,0,-555,-84,0,-16777216,0.93,0.96
7062,'2023/12/04 22:38:12:634',61,0,-765,0,0,-16777216,0.93,0.96
7063,'2023/12/04 22:38:12:650',61,-12,-765,0,0,-16777216,0.93,0.96
7064,'2023/12/04 22:38:12:668',61,18,-606,-519,18,-16382458,0.93,0.96
7065,'2023/12/04 22:38:12:686',61,18,-429,-519,18,-16382458,0.93,0.96
7066,'2023/12/04 22:38:12:702',61,3,3,-534,3,-16711423,0.93,0.96
7067,'2023/12/04 22:38:12:716',61,0,0,-471,0,-16777216,0.93,0.96
7068,'2023/12/04 22:38:12:737',61,-177,-645,0,0,-16777216,0.93,0.96
7069,'2023/12/04 22:38:12:750',61,0,-567,0,-114,-16777216,0.93,0.96
7070,'2023/12/04 22:38:12:767',61,0,0,-36,0,-16777216,0.93,0.96
7071,'2023/12/04 22:38:12:785',61,0,0,0,0,-16777216,0.93,0.96
7072,'2023/12/04 22:38:12:803',61,0,-42,0,0,-16777216,0.93,0.96
7073,'2023/12/04 22:38:12:818',61,198,198,150,-12,-12434878,0.93,0.96
7074,'2023/12/04 22:38:12:836',61,198,198,150,-12,-12434878,0.93,0.96
7075,'2023/12/04 22:38:12:849',61,0,0,0,0,-16777216,0.93,0.96
7076,'2023/12/04 22:38:12:865',61,0,0,0,0,-16777216,0.93,0.96
7077,'2023/12/04 22:38:12:883',61,0,0,0,0,-16777216,0.93,0.96
7078,'2023/12/04 22:38:12:901',61,-15,-60,0,0,-16777216,0.93,0.96
7079,'2023/12/04 22:38:12:917',61,-87,-9,0,0,-16777216,0.93,0.96
7080,'2023/12/04 22:38:12:934',61,-114,0,0,0,-16777216,0.93,0.96
7081,'2023/12/04 22:38:12:953',61,81,81,-18,6,-15000805,0.93,0.96
7082,'2023/12/04 22:38:12:966',61,99,114,-111,-123,-14277082,0.93,0.96
7083,'2023/12/04 22:38:12:988',61,387,522,-6,-18,-5329234,0.93,0.96
7084,'2023/12/04 22:38:13:000',61,300,567,537,567,-4342339,0.93,0.96
7085,'2023/12/04 22:38:13:017',61,300,567,537,567,-4342339,0.93,0.96
7086,'2023/12/04 22:38:13:033',61,300,567,537,567,-4342339,0.93,0.96
7087,'2023/12/04 22:38:13:050',61,300,567,537,567,-4342339,0.93,0.96
7088,'2023/12/04 22:38:13:068',61,300,567,537,567,-4342339,0.93,0.96
7089,'2023/12/04 22:38:13:087',61,300,567,537,567,-4342339,0.93,0.96
7090,'2023/12/04 22:38:13:101',61,300,567,537,567,-4342339,0.93,0.96
7091,'2023/12/04 22:38:13:116',61,300,567,537,567,-4342339,0.93,0.96
7092,'2023/12/04 22:38:13:133',61,300,567,537,567,-4342339,0.93,0.96
7093,'2023/12/04 22:38:13:151',61,300,567,537,567,-4342339,0.93,0.96
7094,'2023/12/04 22:38:13:167',61,300,567,537,567,-4342339,0.93,0.96
7095,'2023/12/04 22:38:13:186',61,300,567,537,567,-4342339,0.93,0.96
7096,'2023/12/04 22:38:13:201',61,72,345,318,348,-9145228,0.93,0.96
7097,'2023/12/04 22:38:13:800',62,624,624,-141,201,-3092272,0.93,0.96
7098,'2023/12/04 22:38:13:816',62,555,624,-123,-123,-2697514,0.93,0.96
7099,'2023/12/04 22:38:13:834',62,-228,-765,-765,-471,-16777216,0.93,0.96
7100,'2023/12/04 22:38:13:851',62,18,-747,-747,12,-16382458,0.93,0.96
7101,'2023/12/04 22:38:13:869',62,765,0,0,0,-1,0.93,0.96
7102,'2023/12/04 22:38:13:886',62,744,0,0,0,-1,0.93,0.96
7103,'2023/12/04 22:38:13:899',62,744,0,0,0,-1,0.93,0.96
7104,'2023/12/04 22:38:13:917',62,744,0,0,0,-1,0.93,0.96
7105,'2023/12/04 22:38:13:934',62,744,0,0,0,-1,0.93,0.96
7106,'2023/12/04 22:38:13:951',62,744,0,0,0,-1,0.93,0.96
7107,'2023/12/04 22:38:13:967',62,765,0,0,0,-1,0.93,0.96
7108,'2023/12/04 22:38:13:985',62,765,0,0,0,-1,0.93,0.96
7109,'2023/12/04 22:38:14:002',62,-765,-18,-765,-105,-16777216,0.93,0.96
7110,'2023/12/04 22:38:14:016',62,765,765,0,0,-1,0.93,0.96
7111,'2023/12/04 22:38:14:034',62,-765,-447,0,-351,-16777216,0.93,0.96
7112,'2023/12/04 22:38:14:050',62,681,570,57,-84,-1842205,0.93,0.96
7113,'2023/12/04 22:38:14:068',62,-765,-681,0,-765,-16777216,0.93,0.96
7114,'2023/12/04 22:38:14:084',62,-282,-189,168,168,-13092808,0.93,0.96
7115,'2023/12/04 22:38:14:104',62,-282,-189,168,168,-13092808,0.93,0.96
7116,'2023/12/04 22:38:14:118',62,-282,-189,168,168,-13092808,0.93,0.96
7117,'2023/12/04 22:38:14:138',62,-282,-189,168,168,-13092808,0.93,0.96
7118,'2023/12/04 22:38:14:151',62,-282,-189,168,168,-13092808,0.93,0.96
7119,'2023/12/04 22:38:14:166',62,-282,-189,168,168,-13092808,0.93,0.96
7120,'2023/12/04 22:38:19:582',63,0,0,0,0,-1,0.9,0.96
7121,'2023/12/04 22:38:19:602',63,0,0,0,0,-1,0.9,0.96
7122,'2023/12/04 22:38:19:619',63,0,0,0,0,-1,0.9,0.96
7123,'2023/12/04 22:38:19:633',63,0,0,0,0,-1,0.9,0.96
7124,'2023/12/04 22:38:19:650',63,0,0,0,0,-1,0.9,0.96
7125,'2023/12/04 22:38:21:254',64,345,-117,-279,30,-9211021,0.9,0.96
7126,'2023/12/04 22:38:21:270',64,-348,63,-576,102,-12632257,0.9,0.96
7127,'2023/12/04 22:38:21:285',64,537,348,519,537,-5000269,0.9,0.96
7128,'2023/12/04 22:38:21:300',64,-741,24,24,24,-16250872,0.9,0.96
7129,'2023/12/04 22:38:21:318',64,33,741,762,621,-1,0.9,0.96
7130,'2023/12/04 22:38:21:334',64,765,0,450,765,-1,0.9,0.96
7131,'2023/12/04 22:38:21:352',64,765,0,450,765,-1,0.9,0.96
7132,'2023/12/04 22:38:21:370',64,765,0,450,765,-1,0.9,0.96
7133,'2023/12/04 22:38:21:385',64,765,0,450,765,-1,0.9,0.96
7134,'2023/12/04 22:38:21:406',64,765,0,450,765,-1,0.9,0.96
7135,'2023/12/04 22:38:21:420',64,765,0,450,765,-1,0.9,0.96
7136,'2023/12/04 22:38:21:435',64,129,-519,129,129,-13948117,0.9,0.96
7137,'2023/12/04 22:38:21:459',64,129,-519,129,129,-13948117,0.9,0.96
7138,'2023/12/04 22:38:21:470',64,558,-33,-33,348,-723724,0.9,0.96
7139,'2023/12/04 22:38:21:497',64,558,-33,-33,348,-723724,0.9,0.96
7140,'2023/12/04 22:38:21:504',64,0,-765,-6,-765,-16777216,0.9,0.96
7141,'2023/12/04 22:38:21:522',64,0,-765,-6,-765,-16777216,0.9,0.96
7142,'2023/12/04 22:38:21:540',64,0,-765,-6,-765,-16777216,0.9,0.96
7143,'2023/12/04 22:38:21:556',64,0,-765,-6,-765,-16777216,0.9,0.96
7144,'2023/12/04 22:38:21:571',64,0,-765,-6,-765,-16777216,0.9,0.96
7145,'2023/12/04 22:38:21:592',64,0,-765,-6,-765,-16777216,0.9,0.96
7146,'2023/12/04 22:38:21:604',64,0,-765,-6,-765,-16777216,0.9,0.96
7147,'2023/12/04 22:38:21:620',64,0,-765,-6,-765,-16777216,0.9,0.96
7148,'2023/12/04 22:38:21:640',64,0,-765,-3,-765,-16777216,0.9,0.96
7149,'2023/12/04 22:38:21:655',64,633,-33,-33,348,-723724,0.9,0.96
7150,'2023/12/04 22:38:21:678',64,765,195,495,189,-1,0.9,0.96
7151,'2023/12/04 22:38:21:697',64,765,0,0,0,-1,0.9,0.96
7152,'2023/12/04 22:38:21:708',64,33,384,759,579,-1,0.9,0.96
7153,'2023/12/04 22:38:21:721',64,33,384,759,579,-1,0.9,0.96
7154,'2023/12/04 22:38:21:740',64,117,594,594,594,-3750202,0.9,0.96
7155,'2023/12/04 22:38:21:754',64,345,177,345,345,-9211021,0.9,0.96
7156,'2023/12/04 22:38:21:771',64,234,-51,714,600,-1118482,0.9,0.96
7157,'2023/12/04 22:38:21:790',64,0,129,0,366,-1,0.9,0.96
7158,'2023/12/04 22:38:21:803',64,0,129,0,366,-1,0.9,0.96
7159,'2023/12/04 22:38:21:822',64,0,129,0,366,-1,0.9,0.96
7160,'2023/12/04 22:38:21:838',64,0,129,0,366,-1,0.9,0.96
7161,'2023/12/04 22:38:22:333',65,3,-762,-237,-618,-16711423,0.9,0.96
7162,'2023/12/04 22:38:22:350',65,129,657,0,0,-1,0.9,0.96
7163,'2023/12/04 22:38:22:368',65,0,0,0,0,-16777216,0.9,0.96
7164,'2023/12/04 22:38:22:382',65,-684,81,-216,-75,-15000805,0.9,0.96
7165,'2023/12/04 22:38:22:397',65,0,0,0,0,-16777216,0.9,0.96
7166,'2023/12/04 22:38:22:414',65,3,-354,-252,-15,-16711423,0.9,0.96
7167,'2023/12/04 22:38:22:433',65,-81,360,-120,-189,-4144960,0.9,0.96
7168,'2023/12/04 22:38:22:450',65,-45,0,0,-498,-16777216,0.9,0.96
7169,'2023/12/04 22:38:22:465',65,-45,0,0,-498,-16777216,0.9,0.96
7170,'2023/12/04 22:38:22:485',65,-45,0,0,-498,-16777216,0.9,0.96
7171,'2023/12/04 22:38:22:500',65,-45,0,0,-498,-16777216,0.9,0.96
7172,'2023/12/04 22:38:22:516',65,-45,0,0,-498,-16777216,0.9,0.96
7173,'2023/12/04 22:38:22:534',65,-45,0,0,-498,-16777216,0.9,0.96
7174,'2023/12/04 22:38:22:549',65,-45,0,0,-498,-16777216,0.9,0.96
7175,'2023/12/04 22:38:22:565',65,-45,0,0,-498,-16777216,0.9,0.96
7176,'2023/12/04 22:38:22:583',65,-45,0,0,-498,-16777216,0.9,0.96
7177,'2023/12/04 22:38:22:599',65,-45,0,0,-498,-16777216,0.9,0.96
7178,'2023/12/04 22:38:22:616',65,-45,0,0,-498,-16777216,0.9,0.96
7179,'2023/12/04 22:38:22:635',65,-75,0,0,-498,-16777216,0.9,0.96
7180,'2023/12/04 22:38:22:648',65,75,159,36,-33,-723724,0.9,0.96
7181,'2023/12/04 22:38:22:666',65,75,159,36,-33,-723724,0.9,0.96
7182,'2023/12/04 22:38:23:484',66,-309,267,-384,204,-10921639,0.9,0.96
7183,'2023/12/04 22:38:23:499',66,0,0,0,0,-16777216,0.9,0.96
7184,'2023/12/04 22:38:23:516',66,0,-558,-144,0,-16777216,0.9,0.96
7185,'2023/12/04 22:38:23:533',66,0,0,-504,0,-16777216,0.9,0.96
7186,'2023/12/04 22:38:23:549',66,0,0,0,0,-16777216,0.9,0.96
7187,'2023/12/04 22:38:23:565',66,225,-540,-339,222,-11842741,0.9,0.96
