@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 {0,1,2,3}

@data
80,'2023/11/28 01:46:42:736',5,-0.008175,0.000709,0.011501,?
81,'2023/11/28 01:46:42:771',5,-0.007902,0.005215,0.010454,?
82,'2023/11/28 01:46:42:803',5,-0.004379,0.004714,0.011684,?
83,'2023/11/28 01:46:42:836',5,0.008701,0.003454,0.005713,?
84,'2023/11/28 01:46:42:875',5,0.001559,0.010442,0.004171,?
85,'2023/11/28 01:46:42:912',5,0.012465,0.011927,-0.01002,?
86,'2023/11/28 01:46:42:936',5,0.007249,0.012678,-0.006895,?
87,'2023/11/28 01:46:42:970',5,-0.000935,0.00883,0.001246,?
88,'2023/11/28 01:46:43:005',5,0.00484,0.009,-0.00262,?
89,'2023/11/28 01:46:43:037',5,-0.006917,0.003965,0.013886,?
90,'2023/11/28 01:46:44:320',6,0.004826,-0.00083,-0.012175,?
91,'2023/11/28 01:46:44:336',6,-0.009572,-0.002226,0.008149,?
92,'2023/11/28 01:46:44:370',6,-0.012485,0.001798,0.014244,?
93,'2023/11/28 01:46:44:413',6,-0.003239,0.004581,0.01206,?
94,'2023/11/28 01:46:44:456',6,0.00338,0.006936,0.011396,?
95,'2023/11/28 01:46:44:476',6,0.001909,0.008762,0.01134,?
96,'2023/11/28 01:46:44:517',6,0.007022,0.01034,0.000113,?
97,'2023/11/28 01:46:44:544',6,-0.003526,0.012047,0.002115,?
98,'2023/11/28 01:46:44:570',6,-0.003946,0.000502,0.005553,?
99,'2023/11/28 01:46:44:605',6,0.002209,0.001122,0.000275,?
100,'2023/11/28 01:46:44:640',6,-0.006212,0.002369,0.009895,?
101,'2023/11/28 01:46:44:670',6,0.003052,-0.006562,0.002939,?
102,'2023/11/28 01:46:44:703',6,-0.001188,-0.003219,0.003595,?
103,'2023/11/28 01:46:44:756',6,0.004726,-0.000407,-0.002533,?
104,'2023/11/28 01:46:44:770',6,0.002411,0.00747,0.000882,?
105,'2023/11/28 01:46:44:805',6,-0.004311,0.004169,0.001868,?
106,'2023/11/28 01:46:44:837',6,-0.004061,0.00541,0.004204,?
107,'2023/11/28 01:46:44:873',6,-0.002916,0.006618,0.008121,?
108,'2023/11/28 01:46:44:927',6,-0.008924,0.002044,0.012945,?
109,'2023/11/28 01:46:44:937',6,-0.00274,0.001422,0.001581,?
110,'2023/11/28 01:46:44:971',6,0.002973,-0.003883,0.003311,?
111,'2023/11/28 01:46:45:004',6,-0.002109,0.000651,0.00867,?
112,'2023/11/28 01:46:45:971',7,0.004516,-0.002545,-0.002933,?
113,'2023/11/28 01:46:46:003',7,-0.004929,-0.00111,0.016576,?
114,'2023/11/28 01:46:46:037',7,-0.004222,-0.00022,0.019177,?
115,'2023/11/28 01:46:46:070',7,-0.007649,-0.000522,0.022112,?
116,'2023/11/28 01:46:46:111',7,-0.005123,-0.000178,0.017166,?
117,'2023/11/28 01:46:46:136',7,0.000537,-0.000201,0.000464,?
118,'2023/11/28 01:46:46:170',7,0.006104,-0.000122,-0.005257,?
119,'2023/11/28 01:46:46:208',7,-0.004442,0.005792,-0.001642,?
120,'2023/11/28 01:46:46:236',7,0.002755,0.011313,0.001497,?
121,'2023/11/28 01:46:46:269',7,0.009305,0.010373,0.003746,?
